# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 924  of event 'cpu-clock:u'
# Event count (approx.): 1851703392
#
# Overhead  Command          Shared Object                    Symbol                                                                                                                                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ...............  ...............................  ...............................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] epoll_pwait                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] recvmmsg                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] std::sys::io::error::unix::decode_error_kind                                                                                                                                                                                                                                                                                                                                 -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <bytes::bytes::Bytes as bytes::buf::buf_impl::Buf>::copy_to_slice                                                                                                                                                                                                                                                                                                            -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <core::io::cursor::Cursor<bytes::bytes_mut::BytesMut> as bytes::buf::buf_impl::Buf>::try_copy_to_slice                                                                                                                                                                                                                                                                       -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <honk_outbound::quic_boring::BoringPacketKey as quinn_proto::crypto::PacketKey>::tag_len                                                                                                                                                                                                                                                                                     -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::packet_builder::PacketBuilder>::new                                                                                                                                                                                                                                                                                                                -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::packet::Header>::encode                                                                                                                                                                                                                                                                                                                                        -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::runtime::scheduler::multi_thread::stats::Stats>::end_processing_scheduled_tasks                                                                                                                                                                                                                                                                                      -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::runtime::scheduler::multi_thread::worker::Core>::maintenance                                                                                                                                                                                                                                                                                                         -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::runtime::task::state::State>::transition_to_idle                                                                                                                                                                                                                                                                                                                     -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] CRYPTO_gcm128_encrypt                                                                                                                                                                                                                                                                                                                                                        -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] CRYPTO_gcm128_init_ctx                                                                                                                                                                                                                                                                                                                                                       -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] bytes::bytes_mut::shared_v_drop                                                                                                                                                                                                                                                                                                                                              -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] tokio::runtime::context::with_scheduler::<(), tokio::runtime::scheduler::multi_thread::worker::with_current<(), <tokio::runtime::scheduler::multi_thread::handle::Handle>::schedule_task::{closure#0}>::{closure#0}>                                                                                                                                                         -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] tokio::runtime::task::raw::poll::<core::pin::Pin<alloc::boxed::Box<dyn core::future::future::Future<Output = ()> + core::marker::Send>>, alloc::sync::Arc<tokio::runtime::scheduler::multi_thread::handle::Handle>>                                                                                                                                                          -      -


#
# (Tip: Use --symfs <dir>[,layout] if your symbol files are in non-standard locations.)
#
