# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu-clock:u'
# Event count (approx.): 4651302568
#
# Overhead  Command          Shared Object                    Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  ...............  ...............................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.26%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::runtime::time::Driver>::park_internal                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.26%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] epoll_pwait                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::collections::btree::node::BalancingContext<u64, quinn_proto::connection::spaces::SentPacket>>::merge_tracking_child_edge::<alloc::alloc::Global>                                                                                                                                                                                                                                                                                                                                               -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <bytes::bytes_mut::BytesMut>::split_to                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::congestion::bbr::Bbr as quinn_proto::congestion::Controller>::on_sent                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::range_set::array_range_set::ArrayRangeSet>::insert                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::runtime::io::registration::Registration>::poll_ready                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] __clock_gettime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] aead_aes_gcm_seal_scatter_impl((anonymous namespace)::aead_aes_gcm_ctx const*, unsigned char*, unsigned char*, unsigned long*, unsigned long, unsigned char const*, unsigned long, unsigned char const*, unsigned long, unsigned char const*, unsigned long, unsigned char const*, unsigned long, unsigned long)                                                                                                                                                                                       -      -
     0.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] memset                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -


#
# (Tip: For parallelism histogram, try: perf report --hierarchy --sort latency,parallelism,comm,symbol)
#
